"","Actual","ANN","OL","RF","SVM"
"1",4,3.6590009671901,0,3.98266666666667,3.87831462727272
"2",4,4.17269397900845,0,5.96,4.25536505698038
"3",4,4.32142143575828,0,3.19083333333333,4.0302933468446
"4",4,4.07580798829954,0,4.46966666666667,3.96217566703794
"10",4,4.24350229323701,0,3.43833333333333,4.10819781867568
"11",4,3.18850819664358,0,2.66366666666667,2.64378399744496
"12",4,4.32343396961405,0,4,3.8934985721958
"13",4,4.13946301238666,0,4.52485714285714,3.99421639888494
"14",4,4.15776165712825,0,3.658,4.16074465376644
"15",4,3.78500022119647,0,3.88133333333333,3.90117583115984
"18",4,4.34146240798032,0,3.2305,3.74257486489741
"19",4,4.13840873279963,0,3.9845,3.85254587993979
"20",4,3.21119074626048,0,2.78916666666667,2.24000979632941
"80",4,4.00764206290227,0,4.67366666666667,4.1541218307256
"86",4,4.02419479105492,0,4,3.94399723438862
"87",4,4.50522151457328,0,4.30730952380952,3.85084666921252
"88",4,4.30118327239087,0,4.016,3.78774272211318
"94",4,4.24787744056319,0,3.989,4.01733833738802
"136",8,4.59433767302557,0,5.31916666666667,3.77694093883819
"139",3,4.6864556081912,0,4.9885,4.21272970822542
"140",3,4.52205678228841,0,4.45966666666667,3.85655172137718
"141",3,4.1467264929191,0,4.36966666666667,3.5836335280213
"148",2,3.98122126600423,0,3.90033333333333,3.98637330324618
"149",2,4.01944055925043,0,5.9725,4.1814296558112
"150",2,4.20150084401154,0,6.02366666666667,4.23660757147603
"151",2,3.88957759879884,0,3.932,3.97769183918275
"152",2,4.3242163351345,0,3.69983333333333,3.54697410838895
"153",2,4.40284995052778,0,4.42097619047619,3.99261152601418
"154",2,4.37844927642636,0,3.0645,3.80698600524892
"171",6,3.81907084176078,0,4.48633333333333,4.10261689850345
"172",6,4.44199457891931,0,4.07266666666667,3.47540687596813
"173",6,4.50837987187255,0,4.60083333333333,3.69163040302767
"174",6,4.05628995905252,0,4.84983333333333,3.54394056876518
"188",4,4.34425125760357,0,4.02733333333333,3.94656584105708
"190",4,3.83106895216465,0,6.1595,3.99455852540664
"191",4,4.02488478375881,0,3.5335,4.04584865286038
"192",4,4.22566227409633,0,3.996,3.87267938732374
"193",4,3.46866906865741,0,2.916,3.16731702968053
"195",4,4.50331106598124,0,4.07466666666667,3.85503775999346
"198",4,4.32059018477269,0,4.58683333333333,4.11604375461607
"199",4,3.08427100946614,0,2.018,2.83993815184049
"201",4,4.36129304981547,0,3.32316666666667,4.03985689844593
"202",4,4.28091601533105,0,4,3.94032112430967
"203",4,3.83796317826699,0,3.784,4.13049397852495
"205",4,3.72220405409575,0,4.455,4.00461213052583
"206",4,4.16497075226201,0,3.93666666666667,3.90654099237965
"260",7,3.90217735985708,0,2.72466666666667,3.99390665047893
"261",7,4.33847477155176,0,3.7935,3.98938028096764
"262",7,4.12084136826443,0,4.58316666666667,4.20245361107274
"263",7,4.17065670504072,0,3.85969047619048,4.12070974594424
"264",7,3.6224995419069,0,3.836,3.378861444309
"265",7,4.19661050623508,0,4.006,4.20577740852765
"266",7,4.13423719882524,0,4.5025,4.17274711308981
"267",7,3.9463536031439,0,5.33183333333333,4.17805982873397
"287",1,3.18258356818526,0,2.699,3.91234539590316
"288",1,2.31186795644339,0,1.0215,1.07150013504141
"289",1,1.92562215753433,0,1.154,0.815068598630528
"290",1,0.795236329229143,0,2.17066666666667,1.52830218862404
"291",1,1.07275913783906,0,1.0075,1.02064805022879
"292",1,4.0194086989703,0,3.55933333333333,3.9411431393953
"293",1,2.77705518232881,0,1.127,1.35352299517321
"294",1,0.851055864758056,0,1.0675,1.03227195401171
"295",1,3.03808391387219,0,1.45,1.88198022590966
"296",1,2.06990795948396,0,1.405,0.7038128130642
"297",1,2.85712326948295,0,1.157,1.60162388658017
"298",1,3.28987558691135,0,3.06483333333333,2.58847543711372
"299",1,1.13589218863677,0,1.0595,1.25128383372014
